Date,Non-mortgage loans,Chartered banks 1,Personal loans 1 2,Of which: Auto loans 1 2,Credit cards 1 2,Lines of credit 1 2 4,"Lines of credit, of which: excluding home equity lines of credit 1 2",Other personal loans 1 2,Unincorporated business 1 2,Non-banks 1,Government 1 5,Non-bank financial corporations 1 5,Credit unions and caisse populaires 1 5,Trust companies and mortgage loan companies 1 5,Financial vehicle corporations engaged in securitization 1 6,Other financial corporations n.e.i. 1 7,Other lenders n.e.i. 1 8,Mortgage loans,Residential mortgages 9,Chartered banks 9 10,Non-banks 9 10,Government 9 10,Non-bank financial corporations 9 10 11,Of which: financial vehicle corporations engaged in securitization 6 9 10,Of which: off balance-sheet NHA-MBS 9 10 12,Other lenders n.e.i. 8 9 10,Non-residential mortgages 9,Chartered banks 9 13,Non-banks 9 13,Government 9 13,Non-bank financial corporations 9 13,Of which: financial vehicle corporations engaged in securitization 6 9 13,Other lenders n.e.i. 8 9 13,Total credit liabilities of households,Of which: real estate secured lending 14,Residential mortgages 14,Chartered banks 10 14,Non-banks 10 14,Non-residential mortgages 14,Chartered banks 13 14,Non-banks 13 14,Home equity lines of credit 14,Chartered banks 14,Non-banks 14 15
1/1/2005,"349,700","211,446","41,915",0,"37,567","96,939","22,822","18,976","16,049","138,254","8,653","126,886","38,486",384,"43,209","44,807","2,715","567,228","563,309","336,158","227,151",334,"221,469","92,260","75,527","5,348","3,919",826,"3,093",166,"2,711",462,216,"916,928","642,529","563,309","336,158","227,151","3,919",826,"3,093","75,301","74,118","1,183"
2/1/2005,"353,439","212,025","42,021",0,"36,366","98,454","22,797","19,021","16,163","141,414","8,636","130,055","38,917",332,"43,895","46,911","2,723","568,638","564,674","338,044","226,630",334,"220,897","91,969","76,753","5,399","3,964",839,"3,125",167,"2,746",466,212,"922,077","645,520","564,674","338,044","226,630","3,964",839,"3,125","76,882","75,657","1,225"
3/1/2005,"359,118","214,527","42,437",0,"35,562","100,571","22,894","19,532","16,425","144,591","8,617","133,241","39,071",273,"44,655","49,242","2,733","570,925","566,907","337,807","229,100",335,"223,311","94,023","78,110","5,454","4,018",857,"3,161",168,"2,784",470,209,"930,043","649,906","566,907","337,807","229,100","4,018",857,"3,161","78,981","77,677","1,304"
4/1/2005,"361,454","215,124","42,793",0,"35,620","100,678","22,969","19,642","16,391","146,330","8,807","134,773","39,222",276,"45,980","49,295","2,750","575,042","571,010","339,472","231,538",342,"225,712","96,069","79,226","5,484","4,032",846,"3,186",174,"2,802",477,210,"936,496","654,021","571,010","339,472","231,538","4,032",846,"3,186","78,979","77,710","1,269"
5/1/2005,"364,615","216,852","42,906",0,"35,204","102,658","23,472","19,642","16,442","147,763","9,002","135,994","39,018",280,"47,347","49,349","2,767","581,126","577,081","344,242","232,839",349,"226,975","95,956","80,378","5,515","4,045",831,"3,214",177,"2,827",485,210,"945,741","661,658","577,081","344,242","232,839","4,045",831,"3,214","80,532","79,187","1,345"
6/1/2005,"369,469","220,009","43,127",0,"35,746","104,657","23,981","19,879","16,600","149,460","9,192","137,484","39,129",284,"48,669","49,402","2,784","587,983","583,874","347,518","236,356",358,"230,453","97,776","81,494","5,545","4,109",863,"3,246",180,"2,855",494,211,"957,452","670,083","583,874","347,518","236,356","4,109",863,"3,246","82,100","80,677","1,423"
7/1/2005,"371,219","220,571","41,669",0,"35,775","106,689","24,349","19,923","16,515","150,648","9,421","138,420","39,327",321,"48,325","50,447","2,807","595,285","591,145","351,163","239,982",362,"234,076","100,096","83,806","5,544","4,140",874,"3,266",181,"2,874",495,211,"966,504","679,096","591,145","351,163","239,982","4,140",874,"3,266","83,811","82,339","1,472"
8/1/2005,"374,960","222,829","41,780",0,"36,173","108,318","24,623","20,003","16,555","152,131","9,651","139,651","39,871",311,"47,977","51,492","2,829","600,831","596,665","354,764","241,901",365,"235,994","100,910","86,118","5,542","4,166",882,"3,284",183,"2,890",498,211,"975,791","686,023","596,665","354,764","241,901","4,166",882,"3,284","85,192","83,695","1,497"
9/1/2005,"378,841","225,689","41,752",0,"36,996","110,298","24,972","20,007","16,636","153,152","9,873","140,428","39,963",342,"47,619","52,504","2,851","606,614","602,388","354,565","247,823",368,"241,914","105,761","88,356","5,541","4,226",920,"3,306",185,"2,910",501,211,"985,455","693,483","602,388","354,565","247,823","4,226",920,"3,306","86,869","85,326","1,543"
10/1/2005,"380,759","226,389","41,606",0,"36,062","112,060","25,387","20,020","16,641","154,370","10,132","141,359","40,066",361,"48,072","52,860","2,879","612,186","607,969","354,874","253,095",372,"247,217","109,884","90,455","5,506","4,217",892,"3,325",187,"2,928",514,210,"992,945","700,464","607,969","354,874","253,095","4,217",892,"3,325","88,278","86,673","1,605"
